Active Commuters,Active Providers,Total Transactions,Active NFT Listings,Average NFT Price,Completed Trips,AMM Pools,AMM Trading Volume,Execution Time
24,4,20,0,0,20,0,0,"{'commuter_decisions': 8.740954928927951e-05, 'provider_offers': 0.00015746752421061199, 'marketplace_update': 5.043877495659722e-06, 'blockchain_operations': 0.023053805033365887}"
25,4,21,0,0,21,0,0,"{'commuter_decisions': 8.835999862007473e-05, 'provider_offers': 0.00015839286472486413, 'marketplace_update': 5.022339198900306e-06, 'blockchain_operations': 0.023521780967712402}"
28,4,22,0,0,22,0,0,"{'commuter_decisions': 9.109111542397357e-05, 'provider_offers': 0.0001593447746114528, 'marketplace_update': 5.001717425407247e-06, 'blockchain_operations': 0.02399385229070136}"
29,4,23,0,0,23,0,0,"{'commuter_decisions': 9.199976921081543e-05, 'provider_offers': 0.00016044080257415771, 'marketplace_update': 4.9869219462076826e-06, 'blockchain_operations': 0.026461169123649597}"
30,4,26,0,0,26,0,0,"{'commuter_decisions': 9.391745742486448e-05, 'provider_offers': 0.0001616380652602838, 'marketplace_update': 4.943536252391582e-06, 'blockchain_operations': 0.026838064193725586}"
31,4,27,0,0,27,0,0,"{'commuter_decisions': 9.383678436279296e-05, 'provider_offers': 0.00016302108764648437, 'marketplace_update': 5.283355712890625e-06, 'blockchain_operations': 0.026301584243774413}"
32,4,28,0,0,28,0,0,"{'commuter_decisions': 9.393692016601562e-05, 'provider_offers': 0.00016513992758358226, 'marketplace_update': 5.259233362534467e-06, 'blockchain_operations': 0.025786142723233093}"
34,4,28,0,0,28,0,0,"{'commuter_decisions': 9.556917043832633e-05, 'provider_offers': 0.0001660035206721379, 'marketplace_update': 5.2360387948843145e-06, 'blockchain_operations': 0.02618342638015747}"
35,4,29,0,0,29,0,0,"{'commuter_decisions': 9.629411517449145e-05, 'provider_offers': 0.0001668750115160672, 'marketplace_update': 5.2092210301813085e-06, 'blockchain_operations': 0.02715441865741082}"
36,4,30,0,0,30,0,0,"{'commuter_decisions': 9.693481304027416e-05, 'provider_offers': 0.0001675287882486979, 'marketplace_update': 5.183396516022859e-06, 'blockchain_operations': 0.027553836504618328}"
37,4,31,0,0,31,0,0,"{'commuter_decisions': 9.750019420276988e-05, 'provider_offers': 0.00016835386102849787, 'marketplace_update': 5.1628459583629265e-06, 'blockchain_operations': 0.027874274687333542}"
39,4,32,0,0,32,0,0,"{'commuter_decisions': 9.893519537789481e-05, 'provider_offers': 0.0001691324370247977, 'marketplace_update': 5.143029349190849e-06, 'blockchain_operations': 0.028231114149093628}"
39,4,33,0,0,33,0,0,"{'commuter_decisions': 9.796912210029469e-05, 'provider_offers': 0.00016990460847553454, 'marketplace_update': 5.140639187996848e-06, 'blockchain_operations': 0.0293599011605246}"
39,4,35,0,0,35,0,0,"{'commuter_decisions': 9.664584850442821e-05, 'provider_offers': 0.00017067892798062028, 'marketplace_update': 5.105446124898977e-06, 'blockchain_operations': 0.02885398371466275}"
40,4,35,0,0,35,0,0,"{'commuter_decisions': 9.704444368006819e-05, 'provider_offers': 0.00017105926901607191, 'marketplace_update': 5.047200089794095e-06, 'blockchain_operations': 0.028365171561806887}"
40,4,35,0,0,35,0,0,"{'commuter_decisions': 9.612639745076497e-05, 'provider_offers': 0.0001719077428181966, 'marketplace_update': 5.030632019042969e-06, 'blockchain_operations': 0.028675484657287597}"
40,4,36,0,0,36,0,0,"{'commuter_decisions': 9.496485600706007e-05, 'provider_offers': 0.00017234927318135246, 'marketplace_update': 4.998973158539319e-06, 'blockchain_operations': 0.028205754326992346}"
40,4,36,0,0,36,0,0,"{'commuter_decisions': 9.36715833602413e-05, 'provider_offers': 0.00017268426956668976, 'marketplace_update': 4.952953707787298e-06, 'blockchain_operations': 0.0277510650696293}"
40,4,36,0,0,36,0,0,"{'commuter_decisions': 9.291134183368986e-05, 'provider_offers': 0.00017333787585061694, 'marketplace_update': 4.889473082527282e-06, 'blockchain_operations': 0.027310878511459108}"
40,4,36,0,0,36,0,0,"{'commuter_decisions': 9.169429540634155e-05, 'provider_offers': 0.0001734420657157898, 'marketplace_update': 4.842877388000488e-06, 'blockchain_operations': 0.026884380728006363}"
40,4,36,0,0,36,0,0,"{'commuter_decisions': 9.052936847393329e-05, 'provider_offers': 0.00017386216383713944, 'marketplace_update': 4.797715407151442e-06, 'blockchain_operations': 0.026471020625187802}"
41,4,36,0,0,36,0,0,"{'commuter_decisions': 9.043288953376539e-05, 'provider_offers': 0.0001741647720336914, 'marketplace_update': 4.75753437389027e-06, 'blockchain_operations': 0.026070168524077446}"
41,4,36,0,0,36,0,0,"{'commuter_decisions': 8.970943849478195e-05, 'provider_offers': 0.00017462559600374592, 'marketplace_update': 4.764813095776003e-06, 'blockchain_operations': 0.02638122572827695}"
42,4,37,0,0,37,0,0,"{'commuter_decisions': 8.958227494183709e-05, 'provider_offers': 0.00017507286632762234, 'marketplace_update': 4.726297715130974e-06, 'blockchain_operations': 0.02599351546343635}"
42,4,37,0,0,37,0,0,"{'commuter_decisions': 8.890248727107394e-05, 'provider_offers': 0.000175728314164756, 'marketplace_update': 4.716541456139606e-06, 'blockchain_operations': 0.026274411574653957}"
42,4,38,0,0,38,0,0,"{'commuter_decisions': 8.788790021623884e-05, 'provider_offers': 0.00017603465488978795, 'marketplace_update': 4.693440028599331e-06, 'blockchain_operations': 0.025899274008614675}"
43,4,38,0,0,38,0,0,"{'commuter_decisions': 8.77212470685932e-05, 'provider_offers': 0.00017622826804577466, 'marketplace_update': 4.6575573128713685e-06, 'blockchain_operations': 0.02553470705596494}"
44,4,38,0,0,38,0,0,"{'commuter_decisions': 8.83373949262831e-05, 'provider_offers': 0.00017685029241773818, 'marketplace_update': 4.649162292480469e-06, 'blockchain_operations': 0.02583603064219157}"
44,4,39,0,0,39,0,0,"{'commuter_decisions': 8.767598295864993e-05, 'provider_offers': 0.00017723645249458208, 'marketplace_update': 4.650795296446918e-06, 'blockchain_operations': 0.026147169609592385}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.677469717489707e-05, 'provider_offers': 0.00017763795079411688, 'marketplace_update': 4.629831056337099e-06, 'blockchain_operations': 0.025794084007675584}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.580525716145833e-05, 'provider_offers': 0.0001777331034342448, 'marketplace_update': 4.596710205078125e-06, 'blockchain_operations': 0.025450363159179687}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.486132872732062e-05, 'provider_offers': 0.00017792300174110815, 'marketplace_update': 4.548775522332442e-06, 'blockchain_operations': 0.025115684459083958}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.394191791484883e-05, 'provider_offers': 0.00017799030650745738, 'marketplace_update': 4.502085896281453e-06, 'blockchain_operations': 0.02478972657934412}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.308276151999449e-05, 'provider_offers': 0.00017844102321526944, 'marketplace_update': 4.468820033929287e-06, 'blockchain_operations': 0.02447214187719883}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.220914043957674e-05, 'provider_offers': 0.0001786781262747849, 'marketplace_update': 4.44545021540002e-06, 'blockchain_operations': 0.02416257013248492}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.135437965393067e-05, 'provider_offers': 0.00017880797386169434, 'marketplace_update': 4.4047832489013675e-06, 'blockchain_operations': 0.023860740661621093}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 8.059725349332079e-05, 'provider_offers': 0.00017892284157835408, 'marketplace_update': 4.373950722776814e-06, 'blockchain_operations': 0.023566437356265974}"
44,4,40,0,0,40,0,0,"{'commuter_decisions': 7.977136751500571e-05, 'provider_offers': 0.00017904653781797828, 'marketplace_update': 4.343870209484565e-06, 'blockchain_operations': 0.023279239491718572}"
45,4,40,0,0,40,0,0,"{'commuter_decisions': 7.974957845297204e-05, 'provider_offers': 0.00017922470368534685, 'marketplace_update': 4.3145145278379144e-06, 'blockchain_operations': 0.02299896205764219}"
45,4,40,0,0,40,0,0,"{'commuter_decisions': 7.92883691333589e-05, 'provider_offers': 0.00017972219557989212, 'marketplace_update': 4.311402638753255e-06, 'blockchain_operations': 0.023285306635357085}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.854629965389476e-05, 'provider_offers': 0.00017992187948787913, 'marketplace_update': 4.297144272748162e-06, 'blockchain_operations': 0.023011586245368507}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.777990296829579e-05, 'provider_offers': 0.0001800642457119254, 'marketplace_update': 4.269355951353561e-06, 'blockchain_operations': 0.022744198178136072}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.703660548418418e-05, 'provider_offers': 0.0001811761965696839, 'marketplace_update': 4.242206441945043e-06, 'blockchain_operations': 0.02248295696302392}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.632103833285245e-05, 'provider_offers': 0.0001815286549654874, 'marketplace_update': 4.226511174982244e-06, 'blockchain_operations': 0.022227647629651157}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.561083590046743e-05, 'provider_offers': 0.0001815436931138628, 'marketplace_update': 4.189737727133076e-06, 'blockchain_operations': 0.02197808094238967}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.500383589002822e-05, 'provider_offers': 0.0001819239722357856, 'marketplace_update': 4.177623324924045e-06, 'blockchain_operations': 0.021734084023369682}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.43446769295158e-05, 'provider_offers': 0.0001819893554016784, 'marketplace_update': 4.1526752513843575e-06, 'blockchain_operations': 0.02149542347415463}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.37024390179178e-05, 'provider_offers': 0.00018194447393002719, 'marketplace_update': 4.141227058742357e-06, 'blockchain_operations': 0.021261958972267483}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.307144903367566e-05, 'provider_offers': 0.00018206463065198673, 'marketplace_update': 4.1172068606140795e-06, 'blockchain_operations': 0.021033561357887844}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.243359342534492e-05, 'provider_offers': 0.0001821467216978682, 'marketplace_update': 4.096234098393867e-06, 'blockchain_operations': 0.020809972539861152}"
